New_clientroomId	New_name
C9C29BA8-665D-E111-A0D2-00215ABCD1C5	Braskem - Marcus Hook, PA - Small Video Conference Room
3BC04C67-695D-E111-A0D2-00215ABCD1C5	Braskem - Pittsburgh - VTC Room
2507163A-6A5D-E111-A0D2-00215ABCD1C5	Braskem - Philadelphia - Large Conference Room 28-3
01458AA4-6C5D-E111-A0D2-00215ABCD1C5	Braskem - Philadelphia - Medium Conference Room 28-6
A7410A1C-6E5D-E111-A0D2-00215ABCD1C5	Braskem - Philadelphia - Conference Room 28-1
AF3823B5-7B5D-E111-A0D2-00215ABCD1C5	SHDH-1020
B377A39D-ED5D-E111-A0D2-00215ABCD1C5	Davita - Malvern - Command Center (1121)
81584135-1C61-E011-AD00-00215ABCD1C5	Test room JDS
2F7E29A8-A34E-E111-B05E-00215ABCD1C5	VWR International - Radnor, PA - Amethyst Conference Room 595
FC882F85-9250-E111-B05E-00215ABCD1C5	VWR International - Rochester, NY - VTC Room
BB2F3973-9B50-E111-B05E-00215ABCD1C5	VWR International - Radnor, PA - Galileo TR 218 / B Franklin TR 221
52BA4B41-9C50-E111-B05E-00215ABCD1C5	VWR International - Radnor, PA - Cafeteria 222
7567BA1D-5C03-E211-B2D2-00215ABCD1C5	Cenero Warehouse
05ED8F6E-2B07-E211-B2D2-00215ABCD1C5	NCO Financial Systems - Bannockburn - Boardroom
CB75C488-CC07-E211-B2D2-00215ABCD1C5	Delaware Management Holdings - Philadelphia - Boardroom
C080A7D4-4251-E111-B8FE-00215ABCD1C5	VWR International - China - VTC Room
9CC466E5-4351-E111-B8FE-00215ABCD1C5	VWR International - Darmstadt, GE - VTC Room
DAFBD28F-4451-E111-B8FE-00215ABCD1C5	VWR International - Radnor, PA - VTC Bridge 327
5C6371DF-4451-E111-B8FE-00215ABCD1C5	VWR International - Radnor, PA - Niels Bohr Meeting Room 203
42654D02-4551-E111-B8FE-00215ABCD1C5	VWR International - Radnor, PA - Jane Goodall Meeting Room 204
68AFB939-4551-E111-B8FE-00215ABCD1C5	VWR International - Radnor, PA - Nicolaus Copernicus Meeting Room 205
EC3911AB-4551-E111-B8FE-00215ABCD1C5	VWR International - Radnor, PA - Pipet Meeting Room 475
328EAE36-4651-E111-B8FE-00215ABCD1C5	VWR International - Radnor, PA - Magnesium Conference Room 306
3EE06E68-4651-E111-B8FE-00215ABCD1C5	VWR International - Radnor, PA - Louis Pasteur Conference Room 206
42FC6B96-4651-E111-B8FE-00215ABCD1C5	VWR International - Radnor, PA - Titanium Conference Room 361
F491C7C5-4651-E111-B8FE-00215ABCD1C5	VWR International - Radnor, PA - Microscope Conference Room 490
3C86CBEE-4651-E111-B8FE-00215ABCD1C5	VWR International - Radnor, PA - Onyx Executive Conference Room 564
027A353E-4751-E111-B8FE-00215ABCD1C5	VWR International - Radnor, PA - Albert Einstein Boardroom 211
C80ABD8C-4C51-E111-B8FE-00215ABCD1C5	VWR International - Radnor, PA - Isaac Newton Conference Room 212
4CD35523-4E51-E111-B8FE-00215ABCD1C5	VWR International - Radnor, PA - Digital Signage 327
1A5F92BA-4E51-E111-B8FE-00215ABCD1C5	VWR International - Radnor, PA - Sound Masking 341
30C46A65-4F51-E111-B8FE-00215ABCD1C5	VWR International - Radnor, PA - Executive Office 585
74061DBE-4F51-E111-B8FE-00215ABCD1C5	VWR International - Radnor, PA - Executive Office 587
21A3A6F9-4F51-E111-B8FE-00215ABCD1C5	VWR International - Radnor, PA - Lobby 201
